Data information:

Number of rows: 300
Number of columns: 2

   variable Unique values Nan % zeros %
0        A           201  33.3     0.0
0        B           300   0.0     0.0

Data:

            A         B
0    0.079449  3.184340
1   -0.032397  5.213338
2    2.123970  4.736465
3    0.812284  3.587334
4    1.452657  4.776681
5   -0.244787  3.862470
6    1.196329  2.624699
7    0.116961  3.873917
8    1.162352  3.589770
9   -0.460215  4.207369
10   0.243559  5.095895
11   1.055804  3.645536
12   1.501313  3.234869
13   2.479473  4.324522
14   2.694781  4.307449
15  -0.071314  5.660278
16   1.017593  3.583278
17   1.181884  3.636710
18  -0.003794  4.433819
19   0.808939  4.364381
20   1.811083  2.954353
21   0.089148  5.869073
22   1.914631  6.106911
23   0.387637  4.473436
24  -0.318895  3.007962
25   1.099365  3.989565
26   0.056698  4.609400
27   0.424242  3.580737
28   0.208183  3.884355
29  -0.923510  2.455630
30   0.237185  3.914088
31   2.691834  3.519974
32   1.130533  4.593572
33   0.517457  4.466898
34   1.566782  5.228982
35   1.876890  4.964489
36   1.079083  2.826568
37   2.357259  6.057286
38  -1.075784  4.630783
39   2.521657  4.795044
40   0.548450  4.056392
41   0.501001  4.918857
42   0.983514  3.402793
43   1.136452  3.713594
44   2.714884  5.707529
45   1.292547  2.807361
46   1.409979  3.834856
47   0.582445  3.086290
48   0.869982  5.182754
49  -1.169394  3.362136
50   0.454197  2.844672
51   0.543078  4.311809
52   1.541367  5.309518
53   1.663154  5.517330
54   1.268853  3.642628
55   0.275562  2.234343
56   1.296758  4.375352
57  -0.321975  2.875717
58   2.129392  3.363505
59   1.499588  4.769771
60   0.582253  1.829976
61   1.491967  3.644913
62   0.908461  4.443897
63   0.550601  4.360185
64   0.776714  4.833064
65  -0.505914  3.430931
66   1.717799  3.659561
67   0.236914  2.870762
68   0.732279  3.475278
69   0.782045  5.470925
70   1.346061  5.442504
71   0.330893  3.600269
72   0.562607  1.949481
73  -0.601328  4.365100
74   2.416556  5.289045
75  -0.010661  4.911917
76   1.367164  3.414863
77  -0.210921  3.902389
78   1.257374  4.942596
79   1.210217  3.340530
80   0.146239  4.976443
81   0.712538  4.947683
82   2.063769  3.017563
83   0.364311  3.541108
84   1.810072  1.722966
85   0.998474  4.132461
86   1.122689  3.126452
87  -0.357554  3.652997
88   0.502144  3.777372
89   3.526174  3.073023
90   0.257674  5.841208
91  -0.810186  6.012296
92   1.051749  2.849817
93   0.512316  2.712042
94   0.348889  6.571828
95   0.458059  5.095397
96   0.783994  5.019271
97   1.124668  2.595429
98   1.272044  2.284847
99   0.452390  3.263166
100  1.017597  4.590562
101  1.820801  5.588900
102  2.399143  5.564522
103  2.254398  5.013726
104  1.882740  5.102134
105  1.782415  6.840869
106  2.968913  3.163561
107  1.484520  5.410535
108  1.025536  4.140810
109  2.662512  5.173973
110  2.186080  7.181973
111  2.396655  5.646953
112  4.166521  4.488993
113  0.516436  4.358423
114  1.816922  5.877803
115  2.530821  3.279259
116  3.028953  4.458504
117  2.183622  6.320892
118  1.969387  5.776894
119  2.706024  6.718346
120  1.728895  6.296861
121  1.935297  3.547768
122  3.448160  4.295524
123  2.475669  5.615131
124  1.540091  5.083086
125  0.119626  5.577026
126  2.377839  3.262439
127  4.139824  4.816965
128  3.587047  4.719601
129  1.002546  6.364129
130  3.211633  5.541408
131  0.542399  5.814093
132  2.648342  4.907548
133  2.420281  5.587467
134  1.352573  5.517747
135  0.468934  5.863287
136  1.978434  4.481894
137  1.555359  2.955079
138  1.896257  4.809497
139  3.682090  4.912515
140  4.480694  4.101426
141  1.854776  6.344586
142  2.372641  5.405356
143 -0.280238  6.793141
144  2.636623  5.567535
145  2.374873  5.480888
146  2.179323  4.257151
147  1.556897  5.553872
148 -0.785296  4.491325
149  0.650290  5.401884
150  2.356380  5.066003
151  1.556247  4.788161
152  2.454209  4.831089
153  0.211633  5.161335
