Data information:

Number of rows: 500
Number of columns: 2

   variable Unique values Nan % zeros %
0        A           301  40.0     0.0
0        B           500   0.0     0.0

Data:

             A          B
0     1.844990   5.259110
1     2.517486   5.286302
2     4.875121   3.998214
3     2.483583   5.385867
4     2.871140   5.416317
5     1.268958   4.075698
6     5.844409   2.940909
7     1.592387   4.912404
8     6.895365   4.410355
9     3.071831   5.512812
10    4.729477   6.164572
11    1.702009   4.607519
12    2.669513   6.056648
13    6.214351   5.445734
14    1.087590   7.190006
15    1.950979   4.971103
16    4.711226   6.478651
17    1.371273   6.692769
18    5.238835   4.865308
19    6.999508   3.490127
20    1.388930   4.241528
21    5.623153   4.208636
22    1.933917   5.454916
23    5.350836   6.230651
24    2.842671   6.854084
25    1.247221   4.639950
26    2.353764   4.841409
27    3.194473   3.419769
28    6.323618   4.359040
29    2.080664   3.801919
30    3.038372   4.343341
31    3.198046   5.200412
32    6.671645   4.564855
33    2.175285   5.369800
34    3.663764   4.717152
35    7.075596   5.586904
36    3.909922   4.635506
37    3.375027   4.071079
38    1.601669   5.196822
39    1.645901   5.205548
40    1.511045   2.688698
41    2.185553   4.884610
42    2.164748   5.753570
43    3.340469   7.404341
44    1.843335   5.389849
45    6.639770   3.426275
46    6.794610   5.641226
47    2.025930   6.857949
48    4.529941   6.302207
49    3.169486   5.666888
50    1.926303   5.325636
51    3.859770   5.574643
52    3.722738   6.383582
53    1.156946   4.063693
54    3.934752   6.480087
55    4.762757   3.673319
56    1.466039   5.643802
57    2.442504   6.548949
58    6.950204   6.879691
59    2.384311   4.358757
60    1.108195   3.751852
61    6.560210   3.925000
62    1.432736   5.367123
63    1.361131   4.365152
64    3.783340   4.687028
65    1.061336   4.945921
66    3.872241   6.017499
67    2.178157   4.995811
68    2.904318   6.358675
69    4.453482   5.362086
70    3.617885   5.606270
71    5.914092   5.055817
72    1.554751   4.270096
73    6.185365   6.415836
74    2.339014   4.694871
75    1.847682   4.765370
76    2.446819   4.629837
77    3.137708   4.419328
78    2.086755   5.019598
79    5.405007   4.784451
80    3.677633   4.536016
81    4.593561   3.855759
82    3.381477   3.965708
83    3.748240   4.230382
84    5.615523   5.645493
85    4.212277   7.140306
86    6.864205   4.507948
87    5.269797   4.645557
88    2.435871   4.406229
89    7.077989   6.446904
90    3.841925   6.964814
91    1.636356   5.365646
92    1.483509   5.846940
93    6.501709   5.574565
94    1.490015   5.832232
95    5.062484   3.391088
96    5.218746   5.856689
97    3.937117   6.265777
98    3.199722   7.411538
99    1.704274   4.948789
100   4.708151   7.085819
101   3.158445   5.872273
102   3.925405   6.523068
103   3.818552   6.349692
104   7.194360   7.362979
105   2.768847   3.937478
106  13.550133   5.925394
107   7.722661   5.832663
108  12.069485   5.294930
109   5.359734   6.056410
110   3.369528   5.588764
111   5.562689   5.888210
112   8.030209   5.285210
113   7.339890   6.107452
114   5.119727   4.665119
115   3.226107   5.592124
116   6.385479   6.177080
117  16.787069   7.960934
118   7.950897   6.454625
119   6.437346   6.140414
120  19.532751   5.438060
121  17.445998   6.470883
122   6.526410   5.572403
123  16.079805   5.671475
124   5.052300   7.408460
125  13.561317   4.690181
126   5.161817   6.505801
127   3.552204   5.892249
128  10.096812   6.672309
129  12.941519   6.818548
130   3.182400   7.349001
131  10.689398   5.432053
132   3.275795   5.002117
133  17.287982   6.459755
134   6.782092   5.070195
135   4.731054   8.209112
136   8.016862   5.896723
137  15.687595   5.807749
138   3.606954   6.349591
139   5.876958   5.684775
140   6.145775   4.947939
141   3.440835   7.160153
142   3.265632   4.725779
143   6.089264   5.729148
144   5.041254   5.391233
145   5.202997   7.444557
146  11.545743   4.639400
147   9.204413   4.840689
148   3.448262   6.120704
149  12.266898   6.026093
150   8.249980   4.124490
151   7.208156   4.773303
152   4.489581   7.063129
153   9.103930   4.564226
154   6.005564   5.429059
155  13.391548   5.652287
156   3.677453   4.175435
157   5.254310   4.722934
158  19.081603   5.961353
159   3.899923   4.952408
160   8.679642   7.326924
161  11.300969   7.671397
162   5.680886   5.132305
163  10.436431   6.107787
164   3.438719   6.026110
165   6.556535   3.888875
166   5.119910   6.181306
167  10.628546   6.039991
168   9.161295   8.216080
169   4.128890   7.604988
170   8.372019   7.284587
171   7.049731   5.101859
172  10.219281   5.219604
173   2.845701   7.236554
174  19.536515   6.202452
175   4.891951   6.051462
176   6.703779   6.014003
177   3.366192   6.414425
178   6.628582   5.445220
179  18.722500   6.602107
180   7.631790   5.519216
181  11.871953   6.434545
182   3.176586   5.681252
183  15.448224   4.843465
184   3.842694   7.428072
185   3.700987   4.767148
186   3.854181   6.034194
187   8.331499   7.561633
188   8.284728   6.632505
189   5.853819   6.013670
190  16.473519   7.491687
191  12.197236   6.333960
192  16.905434   6.283403
193   9.902250   6.442010
194  14.431057   6.742410
195   3.051805   5.302295
196  11.751523   4.652181
197   8.120824   6.418286
198  10.744800   6.281030
199  14.931749   4.843049
200  47.115105   7.730671
201  16.148575   6.345375
202  15.924360   5.009190
203  22.564951   8.266060
204  16.994518   6.429103
205  28.647153   5.499567
206  14.771718   6.535642
207   7.844641   5.831503
208  10.873932   7.910858
209  44.846189   7.253030
210   8.308316   6.802376
211   7.774444   5.888738
212  11.488508   6.842687
213  33.014251   6.459727
214  20.833860   7.842039
215  21.377587   7.682398
216  49.769987   6.794497
217   8.655316   7.177336
218  12.252900   7.952028
219  13.834950   8.013433
220  25.822682   6.290099
221  49.933028   6.996095
222  13.780088   5.793681
223  15.614960   7.512286
224   9.252116   7.539185
225  13.642384   7.102279
226  15.273260   6.506610
227  44.067259   6.628334
228  47.219978   7.988849
229  27.827845   6.316750
230  13.208413   7.912109
231  14.808235   7.404100
232  43.283287   6.437800
233  47.971765   6.339632
234  13.438454   6.884210
235  13.456048   6.486774
236  32.777963   8.046704
237  52.785682   8.278769
238  12.713702   6.105586
239  24.575912   5.194132
240  24.554730   7.634599
241  24.596702   5.604777
