Data information:

Number of rows: 400
Number of columns: 3

   variable Unique values Nan % zeros %
0        B           201  50.0     0.0
0        A           301  25.0     0.0
0        C           400   0.0     0.0

Data:

            A         B          C
0    1.726975  4.149471   5.801265
1    0.468162  4.095033   5.036776
2    0.867125  3.941849   5.845660
3    0.681838  3.893443   5.424392
4    0.989032  3.953731   6.128285
5    0.661453  4.179984   6.373888
6    1.311270  4.177893   5.882793
7    1.730398  3.866814   5.636369
8    1.052637  4.043095   6.269727
9    0.503535  3.870611   6.040511
10   0.802946  4.111834   5.695753
11   0.843161  4.187641   5.907920
12   1.449203  4.078408   5.687389
13   1.108662  3.889776   5.793754
14   1.064170  4.037176   5.169793
15   0.734334  4.150984   6.090209
16   0.806219  4.155499   5.787647
17   1.171870  4.020343   6.593517
18   0.944044  3.949075   5.562755
19   1.279577  3.998350   5.479289
20   0.836317  4.140483   6.122574
21  -0.100728  4.036963   5.523359
22   0.845226  4.071206   6.571910
23   0.481577  4.151452   6.253348
24   1.186781  4.140233   6.607262
25   1.128268  4.134805   6.391625
26   1.337312  4.047445   6.640450
27   0.794708  4.152348   6.263215
28   0.947153  3.934048   6.080358
29   0.781948  4.127187   6.271098
30   1.009090  3.802554   6.700237
31   1.258596  4.192474   5.184226
32   0.569976  4.053602   6.408740
33   1.472803  3.842792   6.117010
34   1.078862  4.185197   6.864007
35   1.382314  4.172811   5.210461
36   0.858825  3.920385   6.106307
37   0.885223  4.032868   6.095654
38   1.377907  3.818297   5.165716
39   1.116088  3.809835   5.712005
40   1.495062  4.073318   5.963987
41   0.462099  4.198850   5.777355
42   0.542098  3.865450   4.795664
43   1.205117  3.888308   6.540771
44   1.077097  4.061804   5.691041
45   0.929667  4.177446   5.371785
46   1.583958  3.959038   5.413890
47   1.283937  3.891982   5.886859
48   0.604228  4.145743   6.790782
49   1.159854  3.874210   5.984157
50   1.108379  4.108369   6.250174
51   1.145442  4.050488   6.332749
52   1.062145  4.118615   6.388337
53   0.674059  3.850074   5.972742
54   0.786106  3.880210   6.986416
55   0.765728  4.032789   5.992174
56   1.265835  3.924145   5.642543
57   0.912437  3.828979   5.986094
58   0.856968  4.040008   4.672387
59   1.323666  4.144049   5.400995
