Data information:

Number of rows: 300
Number of columns: 2

   variable Unique values Nan % zeros %
0        A           185  38.7     0.0
0        B           300   0.0     0.0

Data:

            A            B
0   -0.639572     6.207929
1   -0.228387    18.958950
2    0.226668    30.593080
3         NaN     8.227181
4         NaN    12.864426
5    0.209550    66.454550
6         NaN     3.753128
7   -0.297378     6.035590
8    0.046608    34.547567
9   -1.468711    15.614036
10  -0.127888    68.473200
11  -0.182123    20.439571
12        NaN     8.829258
13  -0.593004   130.049720
14   0.010034    17.466323
15   0.984632     2.980092
16   0.721452    30.672239
17   0.314615     3.750778
18   0.048297    38.901707
19   0.003350    13.590360
20  -0.859665    17.222068
21   0.873638    97.429592
22  -0.918431    53.426758
23   0.655464     5.820052
24  -0.665317    49.127113
25   0.219854    19.990124
26  -0.122189    20.046540
27  -1.575979    78.257850
28   0.973554    45.268453
29   0.353581     8.477717
30  -0.153233    11.644088
31   0.782949     3.948011
32  -0.442150     3.286726
33   1.174024     7.865931
34  -0.161144    83.588429
35  -0.428934    36.739603
36  -0.845564    39.839749
37   1.050876    11.996647
38        NaN    15.076528
39  -0.272704    22.400869
40   0.516351    33.765598
41   0.821988     5.233524
42   0.222378     9.964724
43  -0.115919     6.340220
44  -0.774384    19.339628
45   0.124919   103.403682
46  -1.176274    60.705407
47   0.527772     8.621729
48   0.222124    34.698242
49  -0.694947    15.624805
50  -0.606931    20.414577
51   0.870809    14.139760
52   0.476496   103.508709
53        NaN     8.934766
54  -1.700345    10.220893
55        NaN   145.091302
56   0.511572    39.469458
57  -0.028936    10.280354
58   0.455419    15.636666
59        NaN     4.081522
60   0.258662     5.715226
61   0.686324    26.493133
62        NaN    13.474038
63        NaN     8.133471
64  -0.252950    13.029549
65  -2.716760    63.658564
66   0.369043     3.153900
67   0.643514     5.643677
68   0.553906     9.491706
69   1.277437     3.396282
70  -0.422500    25.664551
71   0.405232   105.943577
72  -1.945740   118.519259
73   0.576807    32.629804
74  -0.314904    73.125824
75  -2.252166     5.498674
76   0.130831    13.227805
77   0.847016     5.800324
78   0.683758   141.504984
79   0.105864     5.671015
80  -0.113453    28.476244
81  -0.320493     5.353565
82  -0.439634    60.569752
83   0.459301    42.891500
84  -0.165750   102.692734
85   0.462681     7.888108
86        NaN    59.234216
87   1.105601    24.701077
88   1.149068    87.267426
89   0.728886     6.555637
90        NaN     8.976538
91   0.583557     9.339191
92   0.882341    20.380052
93   0.380070     3.626722
94   0.908805    47.339672
95        NaN    44.879716
96  -0.014311     6.720286
97        NaN    78.559869
98        NaN    12.851301
99  -1.561127    77.944604
100  0.577713   151.680852
101  0.653065   268.483206
102  0.576986    59.476743
103  0.373563    12.389738
104  0.500619    10.340516
105  0.491103    48.083993
106  0.588655    34.491581
107  0.349511   251.377901
108  0.728265    80.008870
109  0.521008    36.872462
110  0.263211    44.710969
111  0.505488    22.036472
112  0.019474   370.893794
113  0.099967   161.020918
114  0.973320    13.097577
115  1.318138    25.062053
116  0.377458    67.567873
117  1.407062     7.663530
118 -0.302271   201.338742
119  0.670123    10.850621
120  0.393793   119.998840
121  0.590221   132.009941
122  0.568977   186.398816
123  1.070712    19.029620
124  0.483414   300.813131
125  0.661537    30.128831
126 -0.730421    23.286780
127  1.449142   350.010436
128  1.256255   361.917593
129  1.202062    46.862402
130  0.091721    15.207592
131  1.126332   196.804996
132  0.389554    41.238618
133  0.020818   216.917021
134  1.017949   201.751228
135  0.821955   230.861714
136  0.660709    40.940158
137       NaN    46.380744
138  1.009560   265.869355
139 -0.998807    26.814599
140 -0.171144    64.184555
141  1.238733   197.049411
142 -1.875350    84.444769
143  0.428858   170.393206
144  0.824658   149.210150
145  0.539340   218.229255
146  1.712721   295.137909
147  0.558670    63.485539
148  1.032329   309.138375
149  0.598905   314.243984
150  1.059118    57.797607
151  0.568823    47.747135
152  0.588359   129.381995
153  1.033194     8.232188
154  1.018739    50.729340
155  1.350871    44.796620
156  0.680769   227.432913
157  0.509131    87.095284
158  0.718998    39.874709
159  1.020302    14.331677
160  0.972638    90.498384
161 -0.803422    34.512648
162 -1.461867   208.223640
163  0.700006    58.939953
164  0.469737   354.077420
165  0.319636    18.273615
166  0.712513    23.135938
167  1.301126   162.040674
168  0.909501    71.985278
169  0.887026    16.286826
170 -1.284109    10.565446
171  1.126041    93.369522
172  0.460461    73.213703
173  0.615022    25.423349
174  1.356999    14.049431
175  0.571888   247.985009
176  0.711443    62.851348
177  0.418024   239.647236
178 -0.011093   225.942980
179 -0.069136   202.789456
180  0.825691   183.092517
181  0.584427   112.209920
182  1.288551     8.098789
183 -1.702122   132.456265
184  0.218391    69.063927
185  1.194603    57.359495
186  0.409954     8.002130
187  1.502091   142.239643
188  0.386643    30.330261
189  0.921307   364.021134
190  1.065751   312.791132
191  1.198372    33.105613
192  0.087661    71.614071
193  0.953172     9.382406
194  0.741469    66.648597
195  1.067368    31.867161
196  1.233499    31.924361
197  0.547094    36.537024
198 -0.304925   113.355429
199  0.977292    22.539333
200       NaN  1035.081170
201       NaN   534.591624
202       NaN   313.769061
203       NaN    34.602320
204       NaN   370.602756
205       NaN   599.706889
206       NaN   929.959795
207       NaN    24.306112
208       NaN    22.114353
209       NaN    68.264752
210       NaN   131.110272
211       NaN   102.973306
212       NaN    44.661115
213       NaN    29.176750
214       NaN    39.437257
215       NaN    53.773857
216       NaN    24.933206
217       NaN  1070.927062
218       NaN   165.114731
219       NaN   795.260520
220       NaN    44.838231
221       NaN   231.057940
222       NaN    99.250455
223       NaN   273.621712
224       NaN    21.912112
225       NaN   377.677383
